Ranunculoideae	Ranunculaceae	subfamilia	Ranunculoideae
Balsaminaceae	Ericales	familia	Balsaminaceae
Impatiens	Balsaminaceae	genus	Impatiens
Eranthemum	Erantheminae	genus	Eranthemum
Ruellieae	Acanthoideae	tribus	Ruellieae
Acanthoideae	Acanthaceae	subfamilia	Acanthoideae
Hostinella	Trimerophytaceae	genus	Hostinella
Krithodeophyton	Barinophytes	genus	Krithodeophyton
Proteales	Eudicots	ordo	Proteales
Proteaceae	Proteales	familia	Proteaceae
Iridaceae	Asparagales	familia	Iridaceae
Euphorbiaceae	Malpighiales	familia	Euphorbiaceae
Steganotheca	Rhyniophyta	genus	Steganotheca
Bignonia	Bignonieae	genus	Bignonia
Bignonieae	Bignoniaceae	tribus	Bignonieae
Bignoniaceae	Lamiales	familia	Bignoniaceae
Litostroma	Plantae	genus	Litostroma
Cycas	Cycadaceae	genus	Cycas
Cycadaceae	Cycadineae	familia	Cycas
Cycadineae	Cycadales	subordo	Cycas
Astragalus	Astragalinae	genus	Astragalus (plant)
Astragalinae	Galegeae	subtribus	Astragalinae
Martynia	Martyniaceae	genus	Martynia
Martyniaceae	Lamiales	familia	Martyniaceae
Alismatales	Monocots	ordo	Alismatales
Apiales	Campanulids	ordo	Apiales
Cyanea	Lobelioideae	genus	Cyanea (plant)
Lobelioideae	Campanulaceae	subfamilia	Lobelioideae
Campanulaceae	Asterales	familia	Campanulaceae
Nepetoideae	Lamiaceae	subfamilia	Nepetoideae
Grevilleoideae	Proteaceae	subfamilia	Grevilleoideae
Fagales	Fabids	ordo	Fagales
Pteridophyta	Tracheophytes/Plantae	divisio	Pteridophyte
Malvoideae	Malvaceae	subfamilia	Malvoideae
Amaranthaceae	Caryophyllales	familia	Amaranthaceae
Ericoideae	Ericaceae	subfamilia	Ericoideae
Rutaceae	Sapindales	familia	Rutaceae
Prunus subg. Cerasus	Prunus	subgenus	Prunus subg. Cerasus
Prunus	Amygdaleae	genus	Prunus
Amygdaleae	Amygdaloideae	tribus	Prunus
Cucurbita	Cucurbiteae	genus	Cucurbita
Cucurbiteae	Cucurbitoideae	tribus	Cucurbiteae
Cucurbitoideae	Cucurbitaceae	subfamilia	Cucurbitoideae
Cucurbitaceae	Cucurbitales	familia	Cucurbitaceae
Campanuloideae	Campanulaceae	subfamilia	Campanuloideae
Brassicales	Malvids	ordo	Brassicales
Asclepiadoideae	Apocynaceae	subfamilia	Asclepiadoideae
Campanula	Campanuloideae	genus	Campanula
Poeae	Poodae	tribus	Poeae
Trifolieae	Inverted repeat-lacking clade	tribus	Trifolieae
Rotheca	Ajugoideae	genus	Rotheca
Ajugoideae	Lamiaceae	subfamilia	Ajugoideae
Blepharis	Acantheae	genus	Blepharis
Acantheae	Acanthoideae	tribus	Acantheae
Citrus	Aurantioideae	genus	Citrus
Citreae	Aurantioideae	tribus	Citreae
Dicranales	Dicranidae	ordo	Dicranales
Apiaceae	Apiales	familia	Apiaceae
Liliales	Monocots	ordo	Liliales
Iridoideae	Iridaceae	subfamilia	Iridoideae
Heliantheae	Asteroideae	tribus!	Heliantheae
Brassicaceae	Brassicales	familia	Brassicaceae
Banksia	Banksieae	genus	Banksia
Brassica	Brassiceae	genus	Brassica
Bambusoideae	BOP clade	subfamilia	Bamboo
Mentheae	Nepetoideae	tribus	Mentheae
Rhodoreae	Ericoideae	tribus	Rhodoreae
Rhododendron	Rhodoreae	genus	Rhododendron
Verbenaceae	Lamiales	familia	Verbenaceae
Vahliaceae	Vahliales	familia	Vahlia
Oncothecaceae	Icacinales	familia	Oncotheca
Icacinaceae	Icacinales	familia	Icacinaceae
Codonaceae	Boraginales	familia	Codon (plant)
Boraginaceae	Boraginales	familia	Boraginaceae
Solanales	Lamiids	ordo	Solanales
Cactaceae	Caryophyllales	familia	Cactus
Pottiales	Dicranidae	ordo	Pottiales
Orthotrichaceae	Orthotrichales	familia	Orthotrichaceae
Orthotrichales	Bryanae	ordo	Orthotrichaceae
Crassulaceae	Saxifragales	familia	Crassulaceae
Anemoneae	Ranunculoideae	tribus	Anemoneae
Rubus	Rubeae	genus	Rubus
Rubeae	Rosoideae	tribus	Rubus
Anthemideae	Asteroideae	tribus	Anthemideae
Bambuseae	Bambusoideae	tribus	Bambuseae
Grevillea	Hakeinae	genus	Grevillea
Zingiberales	Commelinids	ordo	Zingiberales
Rauvolfioideae	Apocynaceae	subfamilia	Rauvolfioideae
Crotalarieae	Core Genistoids	tribus	Crotalarieae
Arecaceae	Arecales	familia	Arecaceae
Arecales	Commelinids	ordo	Arecales
Ixoroideae	Rubiaceae	subfamilia	Ixoroideae
Pottiaceae	Pottiales	familia	Pottiaceae
Achyranthes	Amaranthoideae	genus	Achyranthes
Amaranthoideae	Amaranthaceae	subfamilia	Amaranthoideae
Magnoliales	Magnoliids	ordo	Magnoliales
Cichorieae	Cichorioideae	tribus	Cichorieae
Araceae	Alismatales	familia	Araceae
Aizoaceae	Caryophyllales	familia	Aizoaceae
Pinaceae	Pinales	familia	Pinaceae
Dipsacales	Campanulids	ordo	Dipsacales
Verticordia sect. Cooloomia	Verticordia subg. Chrysoma	sectio	Verticordia sect. Cooloomia
Verticordia	Chamelaucieae	genus	Verticordia
Chamelaucieae	Myrtoideae	tribus	Chamelaucieae
Pteridaceae	Pteridineae	familia	Pteridaceae
Polypodiales	Polypodiidae (plant)	ordo	Polypodiales
Hygrophila (plant)	Ruellieae	genus	Hygrophila (plant)
Irideae	Iridoideae	tribus	Irideae
Triticeae	Triticodae	tribus	Triticeae
Cactoideae	Cactaceae	subfamilia!	Cactoideae
Primulaceae	Ericales	familia	Primulaceae
Senecioneae	Asteroideae	tribus	Senecioneae
Podalyrieae	Core Genistoids	tribus	Podalyrieae
Calluna	Ericeae	genus	Calluna
Emblingia	Emblingiaceae	genus	Emblingia
Emblingiaceae	Brassicales	familia	Emblingia
Protosalvinia	Protosalviniaceae	genus	Protosalvinia
Cyperaceae	Poales	familia	Cyperaceae
Clematis	Anemoneae	genus	Clematis
Bryales	Bryanae	ordo	Bryales
Chenopodioideae	Amaranthaceae	subfamilia	Chenopodioideae
Asclepiadeae	Asclepiadoideae	tribus	Asclepiadeae
Phaseolinae	Phaseoleae	subtribus	Phaseolinae
Ingeae	Mimosoid clade	tribus	Mimosoideae
Abarema	Mimosoid clade	genus	Abarema
Ginkgoaceae	Ginkgoales	familia	Ginkgoaceae
Ginkgoopsida	Ginkgophyta	classis	Ginkgoopsida
Ginkgophyta	Gymnosperms	divisio	Ginkgoopsida
Ginkgoales	Ginkgoopsida	ordo	Ginkgoales
Baiera	Ginkgoaceae	genus	Baiera
Ginkgo	Ginkgoaceae	genus	Ginkgo
Ginkgoites	Ginkgoaceae	genus	Ginkgoites
Leiosporocerotaceae	Leiosporocerotales	familia	Leiosporoceros
Anthocerotaceae	Anthocerotales	familia	Anthocerotaceae
Notothyladaceae	Notothyladales	familia	Notothyladaceae
Phymatocerotaceae	Phymatocerotales	familia	Phymatoceros
Dendrocerotaceae	Dendrocerotales	familia	Dendrocerotaceae
Anthocerotopsida	Anthocerotophyta	classis	Hornwort
Anthocerotophyta	Embryophytes/Plantae	divisio	Hornwort
Leiosporoceros	Leiosporocerotaceae	genus	Leiosporoceros
Anthoceros	Anthocerotaceae	genus	Anthoceros
