Solanum subg. Solanum	Solanum	subgenus	龙葵亚属
Solanum sect. Solanum	Solanum subg. Solanum	sectio	龙葵组
Garryales	Lamiids	ordo	丝缨花目
Gentianales	Lamiids	ordo	龍膽目
Boraginales	Lamiids	ordo	紫草目
Boraginaceae	Boraginales	familia	紫草科
Vahliales	Lamiids	ordo	黄漆姑属
Vahliaceae	Vahliales	familia	黄漆姑属
Vahlia	Vahliaceae	genus	黄漆姑属
Lamiales	Lamiids	ordo	脣形目
Aquifoliales	Campanulids	ordo	冬青目
Escalloniales	Campanulids	ordo	南鼠刺目
Escalloniaceae	Escalloniales	familia	南鼠刺科
Asterales	Campanulids	ordo	菊目
Bruniales	Campanulids	ordo	绒球花目
Convolvulaceae	Solanales	familia	旋花科
Ipomoeae	Convolvulaceae	tribus	番薯族
Ipomoea	Ipomoeae	genus	番薯屬
Ipomoea subg. Ipomoea	Ipomoea	subgenus	虎掌藤亚属
Ipomoea sect. Ipomoea	Ipomoea subg. Ipomoea	sectio	虎掌藤组
Ipomoea ser. Ipomoea	Ipomoea sect. Ipomoea	series	虎掌藤系
Paracryphiales	Campanulids	ordo	盔被花科
Paracryphiaceae	Paracryphiales	familia	盔被花科
Apiales	Campanulids	ordo	繖形目
Asteraceae	Asterales	familia	菊科
Asteroideae	Asteraceae	subfamilia	菊亚科
Eupatorieae	Asteroideae	tribus	泽兰族
Ageratinae	Eupatorieae	subtribus	假藿香蓟亚族
Stevia	Ageratinae	genus	甜菊屬
Dipsacales	Campanulids	ordo	川续断目
Cabombaceae	Nymphaeales	familia	蓴菜科
Hydatellaceae	Nymphaeales	familia	独蕊草科
Austrobaileyaceae	Austrobaileyales	familia	木兰藤
Austrobaileya	Austrobaileyaceae	genus	木兰藤
Schisandraceae	Austrobaileyales	familia	五味子科
Trimeniaceae	Austrobaileyales	familia	苞被木科
Arecoideae	Arecaceae	subfamilia	槟榔亚科
Cocoseae	Arecoideae	tribus	椰族
Attaleinae	Cocoseae	subtribus	直叶榈亚族
Cocos	Attaleinae	genus	椰
Canellaceae	Canellales	familia	白樟科
Winteraceae	Canellales	familia	林仙科
Aristolochiaceae	Piperales	familia	馬兜鈴科
Areceae	Arecoideae	tribus	槟榔族
Arecinae	Areceae	subtribus	槟榔亚族
Areca	Arecinae	genus	槟榔属
Streptophyta	Plantae	cladus	链型植物
Embryophyta	Phragmoplastophyta	cladus	有胚植物
Polysporangiophyta	Embryophyta	cladus	多孢植物
Tracheophyta	Polysporangiophyta	cladus!	维管植物
Eutracheophytes	Tracheophyta	cladus	真维管植物
Euphyllophytes	Eutracheophytes	cladus	真叶植物
Piperaceae	Piperales	familia	胡椒科
Saururaceae	Piperales	familia	三白草科
Lignophytes	Radiatopses	cladus	木質植物
Spermatophyta	Lignophytes	superdivisio	种子植物总门
Myristicaceae	Magnoliales	familia	肉荳蔻科
Magnoliaceae	Magnoliales	familia	木兰科
Progymnospermopsida	Lignophytes	paraphyly	原裸子植物纲
Lycophytes	Eutracheophytes	cladus	石松類
Oxalidaceae	Oxalidales	familia	酢漿草科
Averrhoa	Oxalidaceae	genus	杨桃属
Oxalis	Oxalidaceae	genus	酢漿草屬
Oxalis subg. Oxalis	Oxalis	subgenus	酢浆草亚属
Oxalis sect. Corniculatae	Oxalis subg. Oxalis	sectio	酢浆草组
Roystoneae	Arecoideae	tribus	王棕属
Roystonea	Roystoneae	genus	王棕属
Coryphoideae	Arecaceae	subfamilia	贝叶棕亚科
Livistoneae	Coryphoideae	tribus	蒲葵族
Rhapidinae	Livistoneae	subtribus	棕竹亚族
Trachycarpus	Rhapidinae	genus	棕榈属
Degeneriaceae	Magnoliales	familia	单心木兰科
Degeneria	Degeneriaceae	genus	单心木兰科
Himantandraceae	Magnoliales	familia	瓣蕊花科
Corypheae	Coryphoideae	tribus	贝叶棕族
Corypha	Corypheae	genus	贝叶棕属
Borasseae	Coryphoideae	tribus	糖棕族
Hyphaeninae	Borasseae	subtribus	分枝榈亚族
Lataniinae	Borasseae	subtribus	红脉榈亚族
Borassus	Lataniinae	genus	糖棕属
Satranala	Hyphaeninae	genus	林扇葵属
Malvaceae	Malvales	familia	锦葵科
Helicteroideae	Malvaceae	subfamilia	山芝麻亚科
