Neopterygii	Actinopteri	subclassis	新鰭亞綱
Teleostei	Neopterygii	infraclassis	真骨类
Otomorpha	Clupeocephala	cohort	骨鲱群
Clupeomorpha	Clupei	superordo	鲱形目
Clupeiformes	Clupeomorpha	ordo	鲱形目
Clupeoidei	Clupeiformes	subordo	鯡亞目
Engraulidae	Clupeoidei	familia	鳀科
Stolephorus	Engraulinae	genus	側帶小公魚属
Proconsulidae	Hominoidea	familia	原康修尔猿科
Proconsulinae	Proconsulidae	subfamilia	原康修尔猿亚科
Proconsul	Proconsulinae	genus	原康修尔猿属
Ponginae	Hominidae	subfamilia	猩猩亚科
Pongo	Ponginae	genus	猩猩屬
Gigantopithecus	Sivapithecini	genus	巨猿属
Ungulata	Ferungulata	possible clade	有蹄類
Arctoidea	Caniformia	infraordo	熊型下目
Musteloidea	Arctoidea	superfamilia	鼬总科
Procyonidae	Musteloidea	familia	浣熊科
Procyoninae	Procyonidae	subfamilia	浣熊亚科
Procyon	Procyoninae	genus	浣熊属
Pantherinae	Pseudaelurus/grade	subfamilia	豹亚科
Panthera	Pantherinae	genus	豹属
Neofelis	Pantherinae	genus	雲豹屬
Machairodontinae	Pseudaelurus/grade	subfamilia	劍齒虎亞科
Metailurini	Machairodontinae	tribus	後貓族
Dinofelis	Metailurini	genus	恐猫属
Metailurus	Metailurini	genus	後貓屬
Reptiliomorpha	Tetrapoda	cladus	爬行形类
Sauropsida	Amniota	classis	蜥形纲
Diapsida	Romeriida	subclassis	雙孔亞綱
Sauria	Neodiapsida	clade	蜥类
Archosauromorpha	Archelosauria	infraclassis	主龍形下綱
Lepidosauromorpha	Sauria	infraclassis	鱗龍形下綱
Dinosauria	Dracohors	superordo!	恐龙
Ornithischia	Dinosauria	ordo	鳥臀目
Saurischia	Dinosauria	ordo	蜥臀目
Archosauria	Crurotarsi	clade	主龍類
Ornithodira	Avemetatarsalia	clade	鳥頸類主龍
Pristigasteridae	Clupeoidei	familia	锯腹鳓科
Perissodactyla	Perissodactylamorpha	ordo	奇蹄目
Ceratomorpha	Tapiromorpha	subordo	奇蹄目
Tapiroidea	Ceratomorpha	superfamilia	貘总科
Tapiridae	Tapiroidea	familia	貘科
Tapirus	Tapiridae	genus	貘属
Hippomorpha	Perissodactyla	subordo	奇蹄目
Equoidea	Hippomorpha	superfamilia	马总科
Equidae	Equoidea	familia	马科
Equinae	Equidae	subfamilia	马亚科
Equini	Equinae	tribus	马族
Equus	Equini	genus	马属
Equus subg. Equus	Equus	subgenus	马亚属
Equus subg. Asinus	Equus	subgenus	驴亚属
Gorillini	Homininae	tribus	大猩猩
Gorilla	Gorillini	genus	大猩猩
Eutherapsida	Therapsida	clade	真兽孔类
Eusaurischia	Saurischia	clade	真蜥臀类
Theropoda	Eusaurischia	subordo!	獸腳亞目
Genasauria	Ornithischia	clade	頜齒類
Neornithischia	Genasauria	clade	新鳥臀類
Cerapoda	Clypeodonta	clade	角足龍類
Ursoidea	Arctoidea	superfamilia	熊总科
Ursidae	Ursoidea	familia	熊科
Ailuropodinae	Ursidae	subfamilia	大熊猫亚科
Ailuropoda	Ailuropodini	genus	貓熊屬
Ornithopoda	Cerapoda	subordo!	鸟脚亚目
Marginocephalia	Cerapoda	clade	頭飾龍類
Ceratopsia	Marginocephalia	subordo	角龍亞目
Ursinae	Ursidae	subfamilia	猫科
Ursus	Ursinae	genus	熊属
Craniata	Olfactores	cladus	有头动物
Thyreophora	Genasauria	clade	装甲类
Thyreophoroidea	Thyreophora	clade	装甲类
Eurypoda	Thyreophoroidea	clade	扁脚类
Ankylosauria	Eurypoda	subordo	甲龙亚目
Sauropodomorpha	Eusaurischia	subordo!	蜥腳形亞目
Stegosauria	Eurypoda	subordo!	剑龙亚目
Plateosauria	Bagualosauria	cladus	板龍類
Aves	Ornithurae/skip	classis	鸟
Stegosauridae	Stegosauria	familia	剑龙科
Massopoda	Plateosauria	clade	大脚类
Synapsida	Amniota	classis	合弓綱
Pelycosauria	Synapsida	informal group	盤龍目
Therapsida	Sphenacodontoidea/skip	cladus!	獸孔目
Neotherapsida	Eutherapsida	clade	新兽孔类
Anomodontia	Neotherapsida	subordo	异齿亚目
Synapsida/unranked	Amniota	cladus	合弓綱
Theriodontia	Neotherapsida	clade	兽齿类
Eutheriodontia	Theriodontia	clade	真兽齿类
Cynodontia	Eutheriodontia	cladus!	犬齒獸亞目
Epicynodontia	Cynodontia	clade	外犬齿兽类
Eucynodontia	Epicynodontia	cladus	真犬齒獸下目
Cynognathia	Eucynodontia	parvordo!	犬颌兽小目
Tritylodontidae	Mammaliamorpha	familia	三瘤齒獸科
Probainognathia	Eucynodontia	cladus	新颌兽类
Chiniquodontoidea	Probainognathia	superfamilia	奇尼瓜齿兽总科
Prozostrodontia	Probainognathia	cladus	原带齿兽类
Mammaliamorpha	Prozostrodontia	cladus	哺乳形态类
Mammaliaformes/skip	Synapsida/unranked	cladus!	哺乳形类
Tritylodon	Tritylodontidae	genus	三瘤齿兽属
Engraulinae	Engraulidae	subfamilia	鳀亚科
Amazonsprattus	Engraulinae	genus	亞馬遜鯷
Engraulis	Engraulinae	genus	鳀属
Cetengraulis	Engraulinae	genus	鲸鳀属
Lycengraulis	Engraulinae	genus	狼鳀属
Pterengraulis	Engraulinae	genus	翼鳀属
Anchovia	Engraulinae	genus	多耙鳀属
Anchoviella	Engraulinae	genus	小公鱼属
Anchoa	Engraulinae	genus	小鳀属
Encrasicholina	Engraulinae	genus	半棱鳀属
Jurengraulis	Engraulinae	genus	裘罗鳀属
Coiliinae	Engraulidae	subfamilia	鲚亚科
Coilia	Coiliinae	genus	鲚属
Thryssa	Coiliinae	genus	棱鳀属
Setipinna	Coiliinae	genus	黄鲫属
Lycothrissa	Coiliinae	genus	粗齿鳀属
Papuengraulis	Coiliinae	genus	小鰭鯷
Pseudosetipinna	Coiliinae	genus	拟黄鲫属
Plateosauridae	Plateosauria	familia	板龙科
Atlantogenata	Placentalia	magnordo	大西洋獸類
Afrotheria	Atlantogenata	superordo	非洲獸總目
Paenungulata	Paenungulatomorpha	clade	近蹄類
Tethytheria	Paenungulata	clade	特提斯兽类
Proboscidea	Tethytheria	ordo	长鼻目
Sirenia	Tethytheria	ordo	海牛目
Trichechidae	Sirenia	familia	海牛屬
Trichechus	Trichechidae	genus	海牛屬
Dugongidae	Sirenia	familia	儒艮科
Neotheropoda	Theropoda	clade	新獸腳類
Coelophysoidea	Neotheropoda	superfamilia	腔骨龙总科
Coelophysidae	Coelophysoidea	familia	腔骨龍科
Coelophysis	Coelophysidae	genus	腔骨龙属
Helarctos	Ursinae	genus	马来熊
Melursus	Ursinae	genus	懒熊
Tremarctinae	Ursidae	subfamilia	眼镜熊亚科
Tremarctos	Tremarctinae	genus	眼镜熊属
Glires	Gliriformes	grandordo-mb	啮形大目
Rodentia	Simplicidentata	ordo	啮齿目
Lagomorpha	Duplicidentata	ordo	兔形目
Myomorpha	Rodentia	subordo	鼠形亞目
Sciuromorpha	Rodentia	subordo	松鼠形亚目
Anomaluromorpha	Rodentia	subordo	鳞尾松鼠亚目
Hystricomorpha	Rodentia	subordo	豪猪亚目
Castorimorpha	Rodentia	subordo	河狸亚目
Muroidea	Myomorpha	superfamilia	鼠
Muridae	Muroidea	familia	鼠科
Murinae	Muridae	subfamilia	鼠亞科
Mus	Murinae	genus	小鼠属
