9	100	3
13	111	3
16	100	4
18	200	3
21	111	4
25	100	5
26	222	3
27	1000	3
31	111	5
32	200	4
36	100	6
40	1111	3
42	222	4
43	111	6
48	300	4
49	100	7
50	200	5
54	2000	3
57	111	7
62	222	5
63	333	4
64	1000	4
72	200	6
73	111	8
75	300	5
80	2222	3
81	10000	3
85	1111	4
86	222	6
91	111	9
93	333	5
98	200	7
100	400	5
108	300	6
114	222	7
121	11111	3
124	444	5
125	1000	5
128	2000	4
129	333	6
133	111	11
144	400	6
146	222	8
147	300	7
156	1111	5
157	111	12
162	20000	3
169	100	13
170	2222	4
171	333	7
172	444	6
180	500	6
182	222	9
183	111	13
192	3000	4
196	400	7
211	111	14
215	555	6
216	1000	6
219	333	8
225	100	15
228	444	7
241	111	15
242	22222	3
243	100000	3
245	500	7
250	2000	5
255	3333	4
256	10000	4
259	1111	6
266	222	11
273	333	9
285	555	7
288	200	12
292	444	8
294	600	7
312	2222	5
314	222	12
320	500	8
324	400	9
338	200	13
341	11111	4
342	666	7
343	1000	7
363	300	11
364	111111	3
365	555	8
366	222	13
375	3000	5
384	600	8
392	200	14
399	333	11
400	1111	7
405	500	9
422	222	14
432	2000	6
438	666	8
448	700	8
450	200	15
455	555	9
468	3333	5
471	333	12
482	222	15
484	400	11
486	200000	3
500	4000	5
507	300	13
511	777	8
512	20000	4
518	2222	6
532	444	11
546	666	9
549	333	13
567	700	9
576	400	12
585	1111	8
588	300	14
605	500	11
624	4444	5
625	10000	5
628	444	12
633	333	14
637	777	9
648	3000	6
665	555	11
675	300	15
676	400	13
682	22222	4
686	2000	7
720	500	12
723	333	15
726	600	11
728	222222	3
729	1000000	3
732	444	13
768	30000	4
777	3333	6
781	11111	5
784	400	14
785	555	12
798	666	11
800	2222	7
819	333	16
820	1111	9
844	444	14
845	500	13
847	700	11
864	4000	6
900	400	15
915	555	13
931	777	11
942	666	12
964	444	15
968	800	11
980	500	14
